200.0,0.709
201.0,0.708
202.0,0.706
203.0,0.705
204.0,0.704
205.0,0.702
206.0,0.700
207.0,0.699
208.0,0.696
209.0,0.694
210.0,0.691
211.0,0.688
212.0,0.685
213.0,0.681
214.0,0.677
215.0,0.673
216.0,0.669
217.0,0.666
218.0,0.662
219.0,0.659
220.0,0.655
221.0,0.651
222.0,0.648
223.0,0.645
224.0,0.641
225.0,0.638
226.0,0.635
227.0,0.632
228.0,0.629
229.0,0.626
230.0,0.624
231.0,0.621
232.0,0.618
233.0,0.615
234.0,0.613
235.0,0.610
236.0,0.607
237.0,0.604
238.0,0.602
239.0,0.599
240.0,0.597
241.0,0.594
242.0,0.591
243.0,0.588
244.0,0.586
245.0,0.583
246.0,0.580
247.0,0.577
248.0,0.574
249.0,0.571
250.0,0.568
251.0,0.565
252.0,0.561
253.0,0.558
254.0,0.555
255.0,0.552
256.0,0.548
257.0,0.545
258.0,0.541
259.0,0.538
260.0,0.534
261.0,0.530
262.0,0.526
263.0,0.522
264.0,0.517
265.0,0.513
266.0,0.509
267.0,0.504
268.0,0.499
269.0,0.495
270.0,0.490
271.0,0.485
272.0,0.479
273.0,0.474
274.0,0.469
275.0,0.464
276.0,0.458
277.0,0.452
278.0,0.447
279.0,0.441
280.0,0.435
281.0,0.429
282.0,0.423
283.0,0.417
284.0,0.411
285.0,0.404
286.0,0.397
287.0,0.390
288.0,0.383
289.0,0.376
290.0,0.368
291.0,0.361
292.0,0.353
293.0,0.344
294.0,0.335
295.0,0.327
296.0,0.318
297.0,0.308
298.0,0.299
299.0,0.289
300.0,0.279
301.0,0.269
302.0,0.259
303.0,0.249
304.0,0.239
305.0,0.230
306.0,0.221
307.0,0.212
308.0,0.203
309.0,0.195
310.0,0.188
311.0,0.181
312.0,0.174
313.0,0.168
314.0,0.163
315.0,0.158
316.0,0.154
317.0,0.150
318.0,0.148
319.0,0.145
320.0,0.143
321.0,0.142
322.0,0.142
323.0,0.142
324.0,0.143
325.0,0.144
326.0,0.146
327.0,0.148
328.0,0.152
329.0,0.156
330.0,0.161
331.0,0.167
332.0,0.174
333.0,0.184
334.0,0.194
335.0,0.206
336.0,0.219
337.0,0.234
338.0,0.250
339.0,0.268
340.0,0.289
341.0,0.310
342.0,0.334
343.0,0.359
344.0,0.384
345.0,0.410
346.0,0.437
347.0,0.463
348.0,0.491
349.0,0.519
350.0,0.545
351.0,0.572
352.0,0.599
353.0,0.625
354.0,0.652
355.0,0.680
356.0,0.708
357.0,0.736
358.0,0.764
359.0,0.792
360.0,0.820
361.0,0.849
362.0,0.877
363.0,0.908
364.0,0.938
365.0,0.967
366.0,0.997
367.0,1.027
368.0,1.058
369.0,1.088
370.0,1.119
371.0,1.149
372.0,1.180
373.0,1.214
374.0,1.245
375.0,1.277
376.0,1.308
377.0,1.338
378.0,1.370
379.0,1.403
380.0,1.435
381.0,1.467
382.0,1.499
383.0,1.531
384.0,1.561
385.0,1.590
386.0,1.620
387.0,1.649
388.0,1.676
389.0,1.702
390.0,1.727
391.0,1.751
392.0,1.773
393.0,1.795
394.0,1.816
395.0,1.836
396.0,1.853
397.0,1.871
398.0,1.887
399.0,1.901
400.0,1.915
401.0,1.927
402.0,1.937
403.0,1.946
404.0,1.952
405.0,1.957
406.0,1.960
407.0,1.961
408.0,1.959
409.0,1.956
410.0,1.950
411.0,1.942
412.0,1.931
413.0,1.919
414.0,1.904
415.0,1.886
416.0,1.866
417.0,1.845
418.0,1.822
419.0,1.795
420.0,1.769
421.0,1.739
422.0,1.709
423.0,1.677
424.0,1.644
425.0,1.607
426.0,1.569
427.0,1.531
428.0,1.490
429.0,1.449
430.0,1.408
431.0,1.366
432.0,1.325
433.0,1.283
434.0,1.240
435.0,1.198
436.0,1.157
437.0,1.116
438.0,1.078
439.0,1.040
440.0,1.002
441.0,0.966
442.0,0.931
443.0,0.896
444.0,0.864
445.0,0.832
446.0,0.800
447.0,0.771
448.0,0.742
449.0,0.714
450.0,0.687
451.0,0.661
452.0,0.637
453.0,0.613
454.0,0.590
455.0,0.569
456.0,0.548
457.0,0.528
458.0,0.510
459.0,0.492
460.0,0.475
461.0,0.459
462.0,0.443
463.0,0.429
464.0,0.416
465.0,0.402
466.0,0.390
467.0,0.379
468.0,0.368
469.0,0.357
470.0,0.347
471.0,0.337
472.0,0.328
473.0,0.319
474.0,0.310
475.0,0.301
476.0,0.293
477.0,0.286
478.0,0.279
479.0,0.272
480.0,0.265
481.0,0.258
482.0,0.252
483.0,0.247
484.0,0.241
485.0,0.236
486.0,0.231
487.0,0.226
488.0,0.222
489.0,0.217
490.0,0.213
491.0,0.209
