0,255,247,245
0,255,247,245
0,255,247,245
1,255,247,245
1,255,247,245
1,255,247,245
5,255,247,245
5,255,247,245
5,255,247,245
10,255,246,244
10,255,246,244
10,255,246,244
15,255,245,242
15,255,245,242
15,255,245,242
20,255,243,240
20,255,243,240
20,255,243,240
25,255,241,237
25,255,241,237
25,255,241,237
30,255,239,234
30,255,239,234
30,255,239,234
35,255,236,230
35,255,236,230
35,255,236,230
40,255,234,227
40,255,234,226
40,255,234,226
45,253,231,223
45,253,231,223
45,253,231,223
50,250,229,219
50,250,229,220
50,250,229,219
55,247,226,215
55,247,226,215
55,247,226,215
60,243,222,211
60,243,222,211
60,243,222,211
