3475.96	8731.68
3474.68	9629.84
3473.41	10397.2
3472.13	10985.4
3470.85	11531.4
3469.57	11966.8
3468.29	12341.4
3467.01	12650.1
3465.73	12922.8
3464.45	13171.5
3463.17	13453.3
3461.89	13706.2
3460.61	13995.9
3459.33	14221.7
3458.05	14516.5
3456.76	14780.4
3455.48	15044.5
3454.2	15292.4
3452.92	15617.4
3451.63	15938.3
3450.35	16221.2
3449.06	16551.6
3447.78	16822.9
3446.5	17046.1
3445.21	17312.4
3443.93	17562.5
3442.64	17839.9
3441.35	18084.8
3440.07	18366.1
3438.78	18581.2
3437.49	18860.1
3436.21	19085.3
3434.92	19304.1
3433.63	19659.1
3432.34	19895.6
3431.05	20129.7
3429.76	20402.2
3428.47	20664.7
3427.18	20847
3425.89	21087.6
3424.6	21317.5
3423.31	21562.9
3422.02	21760
3420.73	21950.2
3419.44	22148.9
3418.14	22312.8
3416.85	22455.9
3415.56	22691.8
3414.27	22926.3
3412.97	23133.9
3411.68	23295.3
3410.38	23493.9
3409.09	23672.8
3407.79	23816.7
3406.5	23968.3
3405.2	24145.6
3403.91	24393.9
3402.61	24601.2
3401.31	24875.1
3400.02	25052.5
3398.72	25300.4
3397.42	25534.1
3396.12	25782.2
3394.83	25999.3
3393.53	26264.2
3392.23	26562.7
3390.93	26776.6
3389.63	27028.1
3388.33	27121
3387.03	27442.9
3385.73	27554.4
3384.43	27783.9
3383.13	27971
3381.82	28168.1
3380.52	28340.8
3379.22	28522.4
3377.92	28703.1
3376.61	28799.7
3375.31	28959
3374.01	29130.8
3372.7	29255.8
3371.4	29264.6
3370.09	29428.1
3368.79	29538.5
3367.48	29710.4
3366.18	29802.3
3364.87	29984.1
3363.56	30061.2
3362.26	30227.4
3360.95	30313.1
3359.64	30381.2
3358.34	30502.3
3357.03	30665.4
3355.72	30716.7
3354.41	30877.3
3353.1	30964
3351.79	31097.3
3350.48	31258.4
3349.17	31371.3
3347.86	31557.9
3346.55	31697.4
3345.24	31945.1
3343.93	32131
3342.61	32362.6
3341.3	32597.1
3339.99	32871.6
3338.68	33101.4
3337.36	33283.3
3336.05	33458.4
3334.73	33779.4
3333.42	34038.3
3332.11	34127.2
3330.79	34412.3
3329.48	34562.9
3328.16	34843.6
3326.84	35037.3
3325.53	35246.3
3324.21	35416.6
3322.89	35665.8
3321.58	35841.2
3320.26	36092.3
3318.94	36229
3317.62	36499.7
3316.3	36733
3314.98	36922.8
3313.66	37073.7
3312.34	37286.3
3311.02	37373.9
3309.7	37518.2
3308.38	37663.3
3307.06	37779.2
3305.74	37875.5
3304.42	37991.3
3303.1	38044.3
3301.77	38122.9
3300.45	38208.1
3299.13	38229.5
3297.8	38369.6
3296.48	38504
3295.15	38735
3293.83	38939.9
3292.51	39136.9
3291.18	39514.6
3289.85	39897.8
3288.53	40301.1
3287.2	40839.7
3285.88	41332.8
3284.55	41935
3283.22	42623.6
3281.89	43322.5
3280.57	44169.2
3279.24	44993.5
3277.91	45903.8
3276.58	46986.6
3275.25	48134.5
3273.92	49359
3272.59	50701.6
3271.26	52186.5
3269.93	53635.7
3268.6	55339
3267.26	57079.2
3265.93	58789.1
3264.6	60800.7
3263.27	62872.6
3261.94	64310.3
3260.6	64444
3259.27	64451
3257.94	64433
3256.6	64446
3255.27	64435
3253.93	64440
3252.6	64439
3251.26	64436
3249.92	64435
3248.59	64435
3247.25	64452
3245.91	64461
3244.58	64446
3243.24	64447
3241.9	64439
3240.56	64438
3239.22	64444
3237.88	64443
3236.54	64447
3235.2	64439
3233.86	64449
3232.52	64424
3231.18	64435
3229.84	64435
3228.5	64447
3227.16	64446
3225.82	64448
3224.47	64433
3223.13	64453
3221.79	64419
3220.44	64431
3219.1	64452
3217.75	64460
3216.41	64426
3215.06	64445
3213.72	64435
3212.37	64430
3211.03	64448
3209.68	64439
3208.33	64436
3206.99	64441
3205.64	64459
3204.29	64454
3202.94	64447
3201.59	64460
3200.25	64442
3198.9	64443
3197.55	64441
3196.2	64451
3194.85	64454
3193.5	64423
3192.14	64451
3190.79	64454
3189.44	64449
3188.09	64451
3186.74	64445
3185.39	64437
3184.03	64447
3182.68	64440
3181.32	64445
3179.97	64456
3178.62	64446
3177.26	64453
3175.91	64436
3174.55	64434
3173.19	64450
3171.84	64467
3170.48	64444
3169.12	64440
3167.77	64433
3166.41	64441
3165.05	64449
3163.69	64442
3162.33	64452
3160.98	64440
3159.62	64434
3158.26	64432
3156.9	64443
3155.54	64448
3154.18	64456
3152.81	64449
3151.45	64468
3150.09	64435
3148.73	64442
3147.37	64436
3146	64448
3144.64	64444
3143.28	64439
3141.91	64455
3140.55	64438
3139.18	64426
3137.82	64446
3136.45	64433
3135.09	64461
3133.72	64439
3132.35	64457
3130.99	64445
3129.62	64436
3128.25	64444
3126.88	64439
3125.52	64450
3124.15	64436
3122.78	64446
3121.41	64460
3120.04	64459
3118.67	64427
3117.3	64456
3115.93	64447
3114.56	64450
3113.19	64439
3111.81	64447
3110.44	64450
3109.07	64473
3107.7	64437
3106.32	64451
3104.95	64447
3103.58	64437
3102.2	64460
3100.83	64440
3099.45	64439
3098.08	64461
3096.7	64442
3095.33	64438
3093.95	64444
3092.57	64437
3091.2	64446
3089.82	64451
3088.44	64445
3087.06	64456
3085.68	64432
3084.31	64441
3082.93	64431
3081.55	64452
3080.17	64432
3078.79	64450
3077.41	64450
3076.03	64437
3074.64	64434
3073.26	64452
3071.88	64431
3070.5	64435
3069.11	64438
3067.73	64445
3066.35	64430
3064.97	64457
3063.58	64441
3062.2	64439
3060.81	64444
3059.43	64447
3058.04	64448
3056.65	64450
3055.27	64439
3053.88	64440
3052.49	64439
3051.11	64440
3049.72	64437
3048.33	64441
